	XM_001662595.2	XM_001657462.3	XM_021847043.1	XM_001664194.2	XM_021851049.1	XM_001649790.2	XM_021850261.1	XM_001652683.2	XM_021841341.1	XM_001648700.2	XM_021857384.1	XM_021852340.1	XM_001649087.2	XM_021853012.1	XM_021851750.1	XM_021840622.1	XM_001657120.2	XM_021851332.1	XM_021846286.1
SRR11006694	1.105263157894737	0.9473684210526315	1.1578947368421053	1.0	0.8947368421052632	0.9473684210526315	1.105263157894737	0.631578947368421	1.2105263157894737	1.0	1.0	1.1578947368421053	1.1578947368421053	0.9473684210526315	1.1578947368421053	1.105263157894737	1.0	1.0526315789473684	0.7894736842105263
SRR11196611	1.0833333333333333	0.9583333333333334	1.0	1.125	1.0	0.9166666666666666	1.0	1.0833333333333333	1.0	1.0	0.9166666666666666	1.5416666666666667	0.9583333333333334	0.9583333333333334	1.125	1.0	1.125	0.9583333333333334	4.125
SRR5562871	1.4	1.2	1.8	1.4	1.4	1.0	1.6	0.8	0.8	1.0	1.0	1.6	1.6	1.0	1.6	1.2	0.6	1.6	1.2
SRR11196614	0.9117647058823529	0.9705882352941176	1.088235294117647	1.0294117647058822	0.9411764705882353	0.9705882352941176	1.0294117647058822	0.9411764705882353	1.0294117647058822	1.0	0.9705882352941176	1.088235294117647	1.088235294117647	1.088235294117647	1.0	1.0294117647058822	1.1176470588235294	1.0588235294117647	7.823529411764706
SRR11237999	1.0	1.0	1.2	1.2	0.8	1.2	1.2	1.0	1.0	0.8	0.6	0.8	0.8	0.6	1.6	1.0	1.0	1.2	2.8
SRR11196631	0.90625	0.96875	1.03125	0.96875	1.03125	1.03125	1.125	1.09375	1.0	1.0625	1.0625	1.5625	1.21875	0.9375	0.9375	1.03125	1.03125	1.125	1.1875
SRR11006501	0.9473684210526315	0.9473684210526315	1.105263157894737	0.8421052631578947	0.8947368421052632	0.9473684210526315	1.0	1.0	0.8947368421052632	1.2105263157894737	1.0	1.105263157894737	1.105263157894737	1.105263157894737	1.2105263157894737	0.9473684210526315	1.0	1.0526315789473684	0.5789473684210527
SRR5562879	0.9	1.1	0.9	1.0	0.9	0.9	1.0	0.8	0.8	0.9	1.0	1.0	1.0	0.9	0.9	1.0	1.2	1.1	8.6
SRR11006604	1.0555555555555556	1.1111111111111112	1.0	0.9444444444444444	1.0555555555555556	0.8333333333333334	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.9444444444444444	0.9444444444444444	1.0555555555555556	1.0555555555555556	1.0	1.0555555555555556	1.0	0.9444444444444444	1.1666666666666667	0.8333333333333334
SRR11006506	0.7777777777777778	0.9444444444444444	0.9444444444444444	1.0555555555555556	1.0	0.9444444444444444	1.1111111111111112	0.7777777777777778	1.0	0.9444444444444444	0.9444444444444444	1.0555555555555556	1.1111111111111112	0.8888888888888888	0.8888888888888888	1.0555555555555556	1.0555555555555556	0.8888888888888888	1.0555555555555556
