	XM_001662595.2	XM_001657462.3	XM_021847043.1	XM_001664194.2	XM_021851049.1	XM_001649790.2	XM_021850261.1	XM_001652683.2	XM_021841341.1	XM_001648700.2	XM_021857384.1	XM_021852340.1	XM_001649087.2	XM_021853012.1	XM_021851750.1	XM_021840622.1	XM_001657120.2	XM_021851332.1	XM_021846286.1
SRR11006599	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11237949	1	1	1	1	1	1	1	1	-1	0	0	1	-1	1	1	1	1	1	0
SRR11006560	1	1	1	-1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006708	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006870	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006902	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11237950	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006686	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0
SRR11006930	1	1	1	1	1	1	1	1	0	0	0	1	0	-1	1	1	0	1	0
SRR11006582	1	1	1	1	1	1	1	1	0	0	0	1	0	-1	1	1	1	1	0
SRR11237978	1	1	1	1	1	1	1	1	0	0	1	1	-1	1	1	1	1	1	0
SRR11006726	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006826	1	-1	1	-1	1	1	1	1	0	0	0	1	-1	1	1	1	1	1	0
SRR11006597	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006907	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0
ERR4065456	0	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0
SRR5562864	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11196680	1	1	1	-1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0
SRR11006576	1	1	-1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006957	1	1	1	1	1	1	1	1	0	0	0	1	-1	1	1	1	1	1	2
SRR11196635	1	1	1	1	1	1	1	1	0	0	-1	1	1	1	1	1	1	1	0
SRR11100121	1	1	1	-1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	2
SRR11196634	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11237991	1	1	1	1	1	1	1	1	0	-1	0	1	1	1	1	1	0	1	0
SRR11006485	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006805	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006640	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0
SRR11006892	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11100169	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006703	1	1	-1	1	1	1	1	1	0	0	-1	1	0	1	1	1	1	1	0
SRR11006702	1	1	1	1	1	1	1	1	0	0	1	1	-1	1	1	1	1	1	0
SRR11006890	0	1	1	1	-1	1	-1	0	0	0	0	1	0	1	1	1	1	1	0
SRR11006655	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006565	1	0	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11196688	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006591	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0
SRR11006658	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006667	0	1	-1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006901	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	-1	0
ERR4065465	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	2
SRR11006768	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0
SRR11237948	1	0	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006574	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0
SRR11006747	1	1	1	-1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0
SRR11238014	1	1	-1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0
SRR11006827	1	-1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006526	-1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006611	-1	1	0	-1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0
SRR14333879	1	-1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1
SRR11238011	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	-1	0
SRR14333870	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	2
SRR11100174	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	-1	1	1	1
SRR11196670	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006787	-1	1	1	1	1	1	1	1	-1	0	0	1	0	1	1	1	1	1	0
SRR11006630	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0
SRR11006954	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0
SRR11237964	1	1	1	1	1	1	1	1	-1	0	0	1	0	1	1	1	1	1	0
SRR11196618	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0
SRR11006926	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11196644	1	1	-1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1
SRR11006927	1	1	1	1	1	1	-1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006779	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0
SRR11006668	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006949	1	1	1	1	0	1	1	1	0	0	-1	1	1	1	1	1	1	1	0
SRR11100186	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1
SRR11196683	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006834	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	0
SRR11006588	1	1	1	1	1	1	1	1	-1	0	-1	1	0	1	1	1	1	1	0
SRR11006663	1	1	1	1	1	1	1	0	0	-1	0	1	0	1	1	1	1	1	0
SRR11100122	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	2
SRR11238003	1	1	0	1	1	1	1	1	-1	0	0	1	0	1	1	1	1	1	0
SRR11006715	1	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006803	1	1	1	1	1	1	1	-1	0	0	0	1	1	1	1	1	1	1	0
SRR11006613	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0	0
SRR11006580	-1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11100137	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006744	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0
SRR11196627	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11237930	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0
SRR11006656	1	1	1	1	1	1	1	1	0	-1	0	1	0	0	1	1	1	1	0
SRR11006922	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	2
SRR11006679	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0
SRR11006647	0	1	1	1	1	1	1	1	0	0	0	1	-1	1	1	1	1	1	0
SRR5562875	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1
SRR11006590	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11196617	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006586	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11196616	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0
SRR11006750	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006563	1	1	1	1	1	1	1	1	1	0	-1	1	0	1	1	1	1	1	0
SRR11006533	0	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0
SRR11006751	1	1	1	-1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0
SRR11006798	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006523	1	1	1	-1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006481	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0
SRR11006675	-1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11237988	0	1	1	-1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	2
