SampleID	Country	SubRegion	Region	Location	VSSC  median coverage	ACE1  median coverage	GSTE2  median coverage	GABA  median coverage
SRR11006816	Gabon	Gabon	West and Central Africa	Gabon: Libreville	1.1	1.05	0.9	1.05
SRR11006817	Gabon	Gabon	West and Central Africa	Gabon: Libreville	0.9230769230769231	1.0769230769230769	1.2307692307692308	0.7692307692307693
SRR11006818	Gabon	Gabon	West and Central Africa	Gabon: Libreville	1.0588235294117647	1.0	1.0	0.9411764705882353
SRR11006819	Gabon	Gabon	West and Central Africa	Gabon: Libreville	1.0526315789473684	1.0	0.5789473684210527	0.9473684210526315
SRR11006820	Gabon	Gabon	West and Central Africa	Gabon: Franceville	1.0555555555555556	1.0	0.9444444444444444	1.1111111111111112
SRR11006821	Gabon	Gabon	West and Central Africa	Gabon: Franceville	1.0714285714285714	1.0714285714285714	1.0	1.0714285714285714
SRR11006822	Kenya	East Kenya	East Kenya and South Africa	Kenya: Arabuko	0.8823529411764706	0.8235294117647058	0.9705882352941176	0.9411764705882353
SRR11006824	Gabon	Gabon	West and Central Africa	Gabon: Franceville	1.0	1.0714285714285714	0.8571428571428571	1.0714285714285714
SRR11006825	Gabon	Gabon	West and Central Africa	Gabon: Franceville	0.8888888888888888	1.0	0.8888888888888888	0.8611111111111112
SRR11006826	Gabon	Gabon	West and Central Africa	Gabon: Franceville	0.9565217391304348	1.2608695652173914	0.6086956521739131	0.8695652173913043
SRR11006827	Gabon	Gabon	West and Central Africa	Gabon: Franceville	0.9047619047619048	0.9047619047619048	1.1428571428571428	1.0952380952380953
SRR11006828	Gabon	Gabon	West and Central Africa	Gabon: Franceville	0.9545454545454546	1.0454545454545454	1.0	0.8636363636363636
SRR11006829	Gabon	Gabon	West and Central Africa	Gabon: Franceville	0.8421052631578947	1.1578947368421053	0.8947368421052632	0.9473684210526315
SRR11006830	Gabon	Gabon	West and Central Africa	Gabon: Franceville	1.0	1.105263157894737	0.8421052631578947	1.105263157894737
SRR11006831	Gabon	Gabon	West and Central Africa	Gabon: Franceville	0.9047619047619048	1.0952380952380953	0.7142857142857143	1.0476190476190477
SRR11006832	Gabon	Gabon	West and Central Africa	Gabon: Franceville	1.0588235294117647	1.1764705882352942	0.9411764705882353	1.0
SRR11006833	Kenya	East Kenya	East Kenya and South Africa	Kenya: Arabuko	0.9473684210526315	1.105263157894737	0.8421052631578947	1.0
SRR11006834	Gabon	Gabon	West and Central Africa	Gabon: Franceville	1.0	1.0588235294117647	1.0882352941176472	1.0588235294117647
SRR11006835	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	1.1	1.2	1.3	1.0
SRR11006836	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	1.0833333333333333	1.1666666666666667	0.75	1.0
SRR11006837	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	1.0769230769230769	1.1538461538461537	2.0	1.1538461538461537
SRR11006838	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	0.8	1.0	2.2666666666666666	1.0
SRR11006839	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	0.9090909090909091	1.0	1.0909090909090908	0.9090909090909091
SRR11006840	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	1.0	1.1875	1.3125	1.125
SRR11006841	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	0.9090909090909091	1.0909090909090908	1.2727272727272727	0.9090909090909091
SRR11006842	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	0.9285714285714286	1.2142857142857142	2.0	1.0
SRR11006843	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	1.0	1.0769230769230769	2.230769230769231	1.2307692307692308
SRR11006844	Kenya	East Kenya	East Kenya and South Africa	Kenya: Arabuko	1.0526315789473684	1.2105263157894737	1.0	1.1578947368421053
SRR11006845	Thailand	Thailand	Americas, East Kenya and others	Thailand: Bangkok	1.05	1.05	4.2	1.0
SRR11006847	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	1.125	1.09375	1.0625	1.1875
SRR11006848	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	1.0588235294117647	1.0	2.8823529411764706	1.0588235294117647
SRR11006850	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	1.0	1.2	1.1333333333333333	1.1333333333333333
SRR11006851	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	0.9333333333333333	0.8	0.8	0.8
SRR11006852	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	1.0	1.1666666666666667	0.8333333333333334	1.0
SRR11006853	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	1.1	1.2	1.75	0.9
SRR11006854	Brazil	Brazil	Americas, East Kenya and others	Brazil: Santarem	1.0	1.1	1.5	1.0
SRR11006855	Kenya	East Kenya	East Kenya and South Africa	Kenya: ShimbaHills	1.0952380952380953	1.1428571428571428	0.7142857142857143	0.9523809523809523
SRR11006856	Thailand	Thailand	Americas, East Kenya and others	Thailand: Bangkok	1.2941176470588236	0.9411764705882353	4.588235294117647	0.8823529411764706
SRR11006857	Kenya	East Kenya	East Kenya and South Africa	Kenya: ShimbaHills	0.88	1.0	1.0	0.92
SRR11006858	Kenya	East Kenya	East Kenya and South Africa	Kenya: Kwale	0.9523809523809523	1.0476190476190477	0.6666666666666666	1.0952380952380953
SRR11006859	Kenya	East Kenya	East Kenya and South Africa	Kenya: Kwale	0.9583333333333334	1.1666666666666667	0.9583333333333334	0.875
SRR11006860	Kenya	East Kenya	East Kenya and South Africa	Kenya: Kwale	0.9629629629629629	1.1481481481481481	0.7777777777777778	0.8148148148148148
SRR11006861	Kenya	East Kenya	East Kenya and South Africa	Kenya: Kwale	0.9565217391304348	1.0869565217391304	0.9565217391304348	0.9565217391304348
SRR11006862	Kenya	East Kenya	East Kenya and South Africa	Kenya: Kwale	0.9444444444444444	0.9444444444444444	0.7777777777777778	0.8888888888888888
SRR11006863	Uganda	Uganda	West and Central Africa	Uganda: Kichwamba	1.105263157894737	1.105263157894737	0.6842105263157895	1.0526315789473684
SRR11006864	Uganda	Uganda	West and Central Africa	Uganda: Kichwamba	1.0	1.0294117647058822	0.8823529411764706	1.1764705882352942
SRR11006865	Uganda	Uganda	West and Central Africa	Uganda: Kichwamba	1.0	1.1875	0.9375	1.125
SRR11006866	Uganda	Uganda	West and Central Africa	Uganda: Kichwamba	0.8666666666666667	1.0333333333333332	0.9333333333333333	0.7333333333333333
SRR11006867	Thailand	Thailand	Americas, East Kenya and others	Thailand: Bangkok	1.0	1.1379310344827587	2.7241379310344827	0.9655172413793104
SRR11006868	Uganda	Uganda	West and Central Africa	Uganda: Kichwamba	1.0	1.1851851851851851	0.7037037037037037	1.037037037037037
SRR11006869	Uganda	Uganda	West and Central Africa	Uganda: Entebbe	1.0	1.1875	0.75	0.875
SRR11006870	Uganda	Uganda	West and Central Africa	Uganda: Entebbe	1.0	0.8823529411764706	0.9411764705882353	1.0588235294117647
SRR11006871	Uganda	Uganda	West and Central Africa	Uganda: Entebbe	0.9333333333333333	1.0	1.3333333333333333	0.8666666666666667
